Entreprise;Département;Ville;Adresse;Email;Téléphone;Site Web;Notes
Rikila Events / Rikila Location;78;Viroflay;15 avenue Gaugé, 78220 Viroflay;rikila.location@gmail.com;01 30 24 12 91;www.rikila-location.com;Location vaisselle, mobilier, tentes, chapiteaux
Hexa-Braulène;78;Saint-Martin-la-Garenne;2 Chemin du Barrage - Port l'Ilon, 78520 Saint-Martin-la-Garenne;hexa@hexa.fr;01 30 41 96 03;www.hexa.fr;Location tentes, tables, chaises, vaisselle - fondée 1932
La Table Enchantée;78;Saint-Illiers-le-Bois;14 route de Rosny, 78980 Saint-Illiers-le-Bois;Lte78@orange.fr;06 60 21 17 24;www.la-table-enchantee.fr;Location vaisselle événements (mariages, anniversaires, baptêmes) - couvre 78/27/28
Options (Paris Ouest);78;Les Mureaux;1 chemin du bois des remises, 78130 Les Mureaux;contactRGPD@options.net;01 34 92 20 00;www.options.fr;Location vaisselle haut de gamme - +3500 références - implanté 78 depuis 40 ans
1001 Fêtes;78;Saint-Léger-en-Yvelines;32 route de la Mare aux Chiens, 78610 Saint-Léger-en-Yvelines;contact@1001fetes.com;06 80 87 56 48;www.1001fetes.com;Location tentes, mobilier, vaisselle - 10 à 1000 personnes
5-Events (5 Estrelas);78;Sartrouville;46-48 avenue de la Convention, 78500 Sartrouville;contact@5-events.fr;01 39 13 39 00;www.5-events.fr;Location matériel réceptions, traiteur, organisation événements - couvre 78/75/92
1 Esprit en Fête;78;Poissy;22 rue Gustave Eiffel, 78300 Poissy;2m.emballages@wanadoo.fr;01 39 11 50 90;www.1-esprit-en-fete.fr;Arts de la table, décoration, location vaisselle
A.V.S. Traiteur;78;Montigny-le-Bretonneux;Montigny-le-Bretonneux, 78180;contact@avstraiteur.com;01 61 38 20 92;www.avstraiteur.com;Location vaisselle et matériel réception - couvre 78 et 91
Laye Événementiel;78;Saint-Germain-en-Laye (zone);Saint-Germain-en-Laye, 78;;01 39 76 36 45;www.laye-evenementiel.com;Location tentes, mobilier, vaisselle - email non public (formulaire)
Proxitina Events;78;L'Étang-la-Ville;7 rue de Mareil, 78620 L'Étang-la-Ville;;06 41 17 70 61;www.proxitina-events.fr;Location tentes, mobilier, accessoires fêtes - proche Saint-Germain-en-Laye
Paris Réceptions (Barnum & Events);92;Sèvres;22 rue Jeanne d'Arc, 92310 Sèvres;contact@location-mobilier-receptions.fr;06 52 41 31 21;location-barnum-idf.fr / location-mobilier-receptions.fr;Location vaisselle, nappes, mobilier - livraison 7/7 dans tout le 92
Tentingo SAS;92;Meudon;13 avenue Jacqueminot, 92190 Meudon;;01 40 50 19 42;tentingo.fr;Location tentes, tables, chaises, vaisselle, son, lumière - email non public
Lion Evenements;92;Colombes;27 rue des Cerisiers, 92700 Colombes;;;N/A;Location vaisselle (mariages, fiançailles) - email non trouvé
Accueil Et Backstage;92;Gennevilliers;16 boulevard Galliéni, 92230 Gennevilliers;;01 40 80 00 00;N/A;Location matériel réceptions (vaisselle, mobilier, cuisine, son) - depuis 2005
Boucly Jean-François;92;Garches;44 rue des Croissants, 92380 Garches;;N/A;N/A;Location vaisselle, nappes, chaises, tables, tentes - email non trouvé
RVS Event (couvre 78+92);95;Chaumontel (livraison IDF);Chaumontel, 95270;contact@rvs-event.fr;09 53 13 63 13;www.rvs-event.fr;Location art de la table, vaisselle - livraison IDF dont 78 et 92
Party.Rent Paris (couvre 78+92);77;Chessy (livraison IDF);26-28 rue des Quilles, 77700 Chessy;paris@party.rent;01 60 04 11 73;www.party.rent;Location vaisselle premium - livraison IDF dont 78 et 92
Locavaisse (couvre 78+92);91;Champlan;102 Route de Versailles, 91160 Champlan;storancy.storancy@wanadoo.fr;01 69 34 14 44;www.locavaisse.net;30 ans d'expérience - location vaisselle, chaises, tables - couvre IDF (78/92)
