status,sumup_nom,occurrences,score,variant_id,variant_nom,variant_type,variant_prix_cts
AUTO,HEINEKEIN,2529,100.0,132,HEINEKEIN,boisson,500
AUTO,AILES DE POULET,2418,100.0,37,AILES DE POULET,plat,1000
AUTO,COTELETTE DE PORC BRAISE,1951,100.0,41,COTELETTE DE PORC BRAISE,plat,1000
AUTO,GUINESS,1551,100.0,69,GRANDE GUINESS,boisson,1000
AUTO,TOP,1446,100.0,86,TOP,boisson,700
AUTO,MAQUEREAU PM,770,100.0,51,MAQUEREAU PM,plat,1500
AUTO,CAPITAINE PM,651,100.0,53,CAPITAINE PM,plat,2000
AUTO,PETITE GUINESS,642,100.0,68,GUINESS,boisson,1200
AUTO,HERU,479,100.0,28,HERU,plat,1800
AUTO,LEFFE,461,100.0,75,GRANDE LEFFE,boisson,700
AUTO,NDOLE VIANDE,431,100.0,11,NDOLE VIANDE,plat,1500
AUTO,DESPERADOS,421,100.0,77,DESPERADOS,boisson,1000
AUTO,GRANDE GUINESS,412,100.0,69,GRANDE GUINESS,boisson,1000
AUTO,1664,405,100.0,80,1664,boisson,500
AUTO,Glenfiddich,384,100.0,97,1/2 Glenfiddich,boisson,4000
AUTO,BROCHETTES DE VIANDES,378,100.0,42,BROCHETTES DE VIANDES,plat,1000
AUTO,Vin 20€,373,100.0,118,Vin 20€,boisson,2000
AUTO,SOYA,349,100.0,44,SOYA,plat,1000
AUTO,MALTA,329,100.0,85,MALTA,boisson,500
AUTO,Coca,309,100.0,122,Coca,boisson,300
AUTO,PETIT CD,307,100.0,129,PETIT CD,boisson,500
AUTO,GRANDE LEFFE,307,100.0,75,GRANDE LEFFE,boisson,700
AUTO,Supplements 3€,298,100.0,66,Supplements 3€,plat,300
AUTO,1/2 Glenfiddich,280,100.0,97,1/2 Glenfiddich,boisson,4000
AUTO,TARO,274,100.0,31,TARO,plat,1800
AUTO,TILAPIA,241,100.0,55,TILAPIA,plat,1500
AUTO,Booster,238,100.0,127,Booster,boisson,1000
AUTO,VEUVE CLICOT,213,100.0,110,COUPE VEUVE CLICOT,boisson,1000
AUTO,Vin 25€,209,100.0,119,Vin 25€,boisson,2500
AUTO,JUS,204,100.0,123,JUS,boisson,300
AUTO,GROS CAPTAINE,204,100.0,54,GROS CAPTAINE,plat,2500
AUTO,EAU,196,100.0,124,EAU,boisson,100
AUTO,BORDEAUX,193,100.0,114,BORDEAUX,boisson,1500
AUTO,DEMI PLAT AILES,181,100.0,39,DEMI PLAT AILES,plat,500
AUTO,MAQUEREAU GROS,174,100.0,52,MAQUEREAU GROS,plat,2000
AUTO,MUTZIG,154,100.0,71,MUTZIG,boisson,600
AUTO,Isenbeck,153,100.0,83,Isenbeck,boisson,800
AUTO,NDOLE ROYAL,147,100.0,15,NDOLE ROYAL,plat,2000
AUTO,GRANDE DESPERADOS,141,100.0,77,DESPERADOS,boisson,1000
AUTO,Conso whisky,137,100.0,99,Conso whisky,boisson,500
AUTO,PETITE DESPERADOS,135,100.0,77,DESPERADOS,boisson,1000
AUTO,GOMBO VIANDE,131,100.0,7,GOMBO VIANDE,plat,1500
AUTO,CASTEL,129,100.0,73,CASTEL,boisson,600
AUTO,EAU GAZEUSE,127,100.0,124,EAU,boisson,100
AUTO,PISTACHE POISSON FRIT,116,100.0,20,PISTACHE POISSON FRIT,plat,2000
AUTO,VIN BLANC,106,100.0,113,VIN BLANC,boisson,1500
AUTO,MAFE VIANDE,106,100.0,16,MAFE VIANDE,plat,1500
AUTO,Supplements 5€,102,100.0,65,Supplements 5€,plat,500
AUTO,BOUILLON DE POISSON,94,100.0,58,BOUILLON DE POISSON,plat,2000
AUTO,AILES DE POULET RIZ,94,100.0,37,AILES DE POULET,plat,1000
AUTO,PETITE LEFFE,93,100.0,74,LEFFE,boisson,1000
AUTO,KOKI,92,100.0,29,KOKI,plat,1200
AUTO,BOUILLON QUEUE DE B,89,100.0,59,BOUILLON QUEUE DE B,plat,1500
AUTO,LEGUMES SAUTES VIANDE,84,100.0,23,LEGUMES SAUTES VIANDE,plat,1500
AUTO,33 EXPORT,74,100.0,72,33 EXPORT,boisson,600
AUTO,PORC RIZ,72,100.0,46,PORC RIZ,plat,1500
AUTO,COGNAC CONSO,70,100.0,103,COGNAC CONSO,boisson,700
